"1";"France";"fr";"en";"FR"
"2";"Belgique";"be";"en";"BE"
"3";"Suisse";"ch";"en";"CH"
"4";"Canada";"ca";"au";"CA"
"5";"Allemagne";"de";"en";"DE"
"6";"Espagne";"es";"en";"ES"
"7";"États-Unis";"us";"aux";"US"
"8";"Grande-Bretagne";"uk";"en";"GB"
"9";"Irlande";"ie";"en";"IE"
"10";"Italie";"it";"en";"IT"
"11";"Luxembourg";"lu";"au";"LU"
"12";"Pays-Bas";"nl";"aux";"NL"
"13";"Portugal";"pt";"au";"PT"
"14";"Arabie Saoudite";"sa";"en";"SA"
"15";"Argentine";"ar";"en";"AR"
"16";"Australie";"au";"en";"AU"
"17";"Brésil";"br";"au";"BR"
"18";"Congo";"cg";"au";"CG"
"19";"Emirats Arabes Unis";"ae";"aux";"AE"
"20";"Grèce";"gr";"en";"GR"
"21";"Islande";"is";"en";"IS"
"22";"Israel";"il";"en";"IL"
"23";"Jordanie";"jo";"en";"JO"
"24";"Liban";"lb";"au";"LB"
"25";"Maroc";"ma";"au";"MA"
"26";"Mayotte";"yt";"à";"YT"
"27";"Monaco";"mc";"à";"MC"
"28";"Mongolie";"mn";"en";"MN"
"29";"Nouvelle Calédonie";"nc";"en";"NC"
"30";"Pologne";"pl";"en";"PL"
"31";"Polynesie Française";"pf";"en";"PF"
"33";"Qatar";"qa";"au";"QA"
"34";"République Tchèque";"cz";"en";"CZ"
"35";"République Dominicaine";"do";"en";"DO"
"36";"Saint-Pierre-et-Miquelon";"pm";"à";"PM"
"37";"Tunisie";"tn";"en";"TN"
"38";"Chili";"chl";"au";"CL"
